Episode Number,Score,Epsilon Value,Number of Actions,Missed Deliveries
0,21.611756596474166,1.0,827,2
1,11.679301152282,0.99,658,1
2,30.28210586001051,0.9801,827,3
3,0.5863263598612591,0.970299,611,0
4,11.14042427250572,0.96059601,730,1
5,20.849484931095933,0.9509900498999999,676,2
6,30.284183646812323,0.941480149401,827,3
7,10.218101376982881,0.9320653479069899,827,1
8,10.326763399561901,0.9227446944279201,827,1
9,1.9525275076308688,0.9135172474836408,790,0
10,21.366319162440316,0.9043820750088044,827,2
11,10.279734747246037,0.8953382542587164,827,1
12,10.381084227931158,0.8863848717161292,631,1
13,0.09740404839583633,0.8775210229989678,314,0
14,11.725553695596657,0.8687458127689782,827,1
15,10.253417673987546,0.8600583546412884,827,1
16,10.744859715162267,0.8514577710948755,827,1
17,0.22472744965433294,0.8429431933839268,482,0
18,10.201593099615696,0.8345137614500875,631,1
19,10.240785193260388,0.8261686238355866,827,1
20,30.25176283669878,0.8179069375972308,827,3
21,20.19699638173669,0.8097278682212584,658,2
22,11.65408762237836,0.8016305895390459,827,1
23,20.216606032438538,0.7936142836436554,658,2
24,10.64390576664361,0.7856781408072188,631,1
25,10.494739494530954,0.7778213593991467,827,1
26,20.204465027539584,0.7700431458051551,658,2
27,20.576205732918893,0.7623427143471035,658,2
28,21.13578961923174,0.7547192872036326,827,2
29,0.08221282579641072,0.7471720943315961,300,0
30,20.76661191529269,0.7397003733882802,676,2
31,20.620469896433665,0.7323033696543975,827,2
32,20.953315801342146,0.7249803359578534,827,2
33,0.9223962256497464,0.7177305325982749,690,0
34,20.820431901706538,0.7105532272722921,827,2
35,20.53532067316319,0.7034476949995692,658,2
36,13.268869272030726,0.6964132180495735,827,1
37,20.228012163753153,0.6894490858690777,827,2
38,30.248655352364715,0.682554595010387,827,3
39,20.25462543149397,0.6757290490602831,827,2
40,10.329054530220507,0.6689717585696803,827,1
41,10.262521161231378,0.6622820409839835,827,1
42,10.242438434166813,0.6556592205741436,827,1
43,10.199719849463893,0.6491026283684022,658,1
44,30.14891007275614,0.6426116020847181,827,3
45,10.239531625147189,0.6361854860638709,827,1
46,20.74818738304989,0.6298236312032323,827,2
47,20.239448315297977,0.6235253948912,827,2
48,11.198752531586635,0.617290140942288,812,1
49,30.224647429431904,0.611117239532865,827,3
50,20.257604629299564,0.6050060671375364,827,2
51,11.706488869440157,0.598956006466161,827,1
52,21.196243662059292,0.5929664464014994,827,2
53,30.18943424568365,0.5870367819374844,827,3
54,21.619378505351182,0.5811664141181095,827,2
55,21.591213574094922,0.5753547499769285,827,2
56,20.65252301854099,0.5696012024771592,827,2
57,30.166358719504768,0.5639051904523875,827,3
58,20.208623163814124,0.5582661385478637,827,2
59,30.158956551857656,0.5526834771623851,827,3
60,30.240587195452605,0.5471566423907612,827,3
61,20.14861435238919,0.5416850759668536,658,2
62,20.230578592652293,0.536268225207185,827,2
63,21.667049676863172,0.5309055429551132,827,2
64,30.147737922216834,0.525596487525562,827,3
65,21.072506982132623,0.5203405226503064,785,2
66,21.579454054464254,0.5151371174238033,827,2
67,10.151354453441707,0.5099857462495653,658,1
68,12.441598460684759,0.5048858887870696,827,1
69,10.192194320013137,0.4998370298991989,827,1
70,10.100285369523567,0.49483865960020695,631,1
71,20.15037906700527,0.4898902730042049,827,2
72,11.262646185578978,0.48499137027416284,827,1
73,30.24176514006558,0.4801414565714212,827,3
74,20.18318289280264,0.47534004200570695,827,2
75,30.213867057607473,0.4705866415856499,827,3
76,30.168370213623877,0.46588077516979337,827,3
