Episode Number,Score,Epsilon Value,Number of Actions,Missed Deliveries
0,12.682092370707142,1.0,827,1
1,20.232455582533145,0.995,658,2
2,11.83191066713453,0.990025,674,1
3,11.733594544574009,0.985074875,827,1
4,20.523597091159935,0.980149500625,658,2
5,10.17518732402768,0.975248753121875,631,1
6,10.850958988907738,0.9703725093562656,684,1
7,2.65543928125081,0.9655206468094842,682,0
8,30.212031081714738,0.9606930435754368,827,3
9,10.316493897742085,0.9558895783575596,827,1
10,20.26360767481815,0.9511101304657719,827,2
11,21.52639126513471,0.946354579813443,827,2
12,12.062859449288036,0.9416228069143757,827,1
13,11.250244136819719,0.9369146928798039,827,1
14,20.6810616541541,0.9322301194154049,658,2
15,20.29521535382729,0.9275689688183278,827,2
16,20.294609796843815,0.9229311239742362,827,2
17,20.688344348751265,0.918316468354365,827,2
18,20.722046277832643,0.9137248860125932,827,2
19,21.580074380134683,0.9091562615825302,827,2
20,20.26262977868389,0.9046104802746175,827,2
21,11.738265782830737,0.9000874278732445,827,1
22,21.098511172923157,0.8955869907338783,786,2
23,10.182417429079104,0.8911090557802088,631,1
24,11.384663619847553,0.8866535105013078,827,1
25,20.177875334377315,0.8822202429488012,827,2
26,10.256935082877991,0.8778091417340572,827,1
27,20.24960788221359,0.873420096025387,827,2
28,20.258522012812204,0.86905299554526,827,2
29,21.312948039280084,0.8647077305675337,827,2
30,10.612841585469285,0.8603841919146961,827,1
31,11.453921897416514,0.8560822709551226,718,1
32,0.23072308189187443,0.8518018596003469,466,0
33,10.247222218171158,0.8475428503023452,827,1
34,30.2529910646965,0.8433051360508335,827,3
35,11.013441813936192,0.8390886103705792,827,1
36,1.1889591849420105,0.8348931673187264,812,0
37,10.29328985964901,0.8307187014821328,827,1
38,10.200224116134441,0.826565107974722,631,1
39,20.248778962482703,0.8224322824348484,827,2
40,30.276714926038153,0.8183201210226743,827,3
41,2.0232856580979472,0.8142285204175609,731,0
42,20.243395230802644,0.810157377815473,827,2
43,10.389957056753664,0.8061065909263957,658,1
44,11.415214170049113,0.8020760579717637,827,1
45,10.15633869842689,0.7980656776819048,631,1
46,0.6671718560964858,0.7940753492934953,448,0
47,20.224664796146804,0.7901049725470278,827,2
48,30.20359091462442,0.7861544476842928,827,3
