Episode Number,Score,Epsilon Value,Number of Actions,Missed Deliveries
0,0.23662340913009275,1.0,116,0
1,0.23134048736141913,0.98,115,0
2,0.23662340913009275,0.9603999999999999,107,0
3,0.2602180354638127,0.9411919999999999,133,0
4,1.0154144421593387,0.9223681599999999,419,0
5,0.3968414445939055,0.9039207967999999,202,0
6,1.8770935024172042,0.8858423808639999,578,0
7,0.5151531491589519,0.8681255332467199,264,0
8,0.2968414445939054,0.8507630225817855,167,0
9,0.6387477754926718,0.8337477621301498,322,0
10,0.7887045179560979,0.8170728068875467,400,0
11,0.23662340913009275,0.8007313507497958,112,0
12,0.2549351136951391,0.7847167237347998,141,0
13,0.2785297400288591,0.7690223892601038,146,0
14,0.23662340913009275,0.7536419414749017,116,0
15,1.7390430908525443,0.7385691026454038,565,0
16,0.6278433590588782,0.7237977205924956,364,0
17,0.33662340913009275,0.7093217661806457,168,0
18,0.35493511369513914,0.6951353308570327,192,0
19,1.1583226875230777,0.6812326242398921,470,0
20,11.149135097404708,0.6676079717550942,667,1
21,0.23134048736141913,0.6542558123199923,129,0
22,0.42605756559274555,0.6411706960735924,218,0
23,0.3440306972613455,0.6283472821521207,209,0
24,0.5549351136951393,0.6157803365090783,336,0
25,0.47324681826018555,0.6034647297788966,291,0
26,0.29684144459390543,0.5913954351833187,178,0
27,0.6348485986219914,0.5795675264796523,368,0
28,11.103731638203401,0.5679761759500592,667,1
29,0.4278433590588782,0.5566166524310581,245,0
30,0.4151531491589519,0.5454843193824369,279,0
31,11.230823392839662,0.5345746329947881,667,1
32,11.093513602739588,0.5238831403348924,667,1
33,0.4496521919264655,0.5134054775281945,278,0
34,0.39684144459390547,0.5031373679776306,245,0
35,0.23662340913009275,0.493074620618078,126,0
36,0.4721243663625791,0.48321312820571644,387,0
37,0.17852974002885907,0.4735488656416021,152,0
38,11.051776558289045,0.46407788832877,667,1
39,0.1838126617975327,0.45479633056219465,136,0
40,11.026057565592746,0.44570040395095073,667,1
41,11.157398052954164,0.4367863958719317,667,1
42,0.6065801515935189,0.42805066795449304,376,0
43,0.39684144459390547,0.4194896545954032,255,0
44,0.3785297400288591,0.41109986150349515,229,0
45,0.13662340913009272,0.4028778642734252,112,0
46,0.2785297400288591,0.39482030698795667,224,0
47,0.16021803546381272,0.38692390084819756,142,0
48,0.17852974002885907,0.3791854228312336,113,0
49,0.13662340913009272,0.3716017143746089,96,0
50,0.16021803546381272,0.36416968008711675,144,0
